"ISO3","SC","Year","infraPt","capitalCostBus","busVKM","ptVKM","lighRail_BRTLength","undergroundRailLength","OM_infraPt"
"IRL","LUT",2020,0.520447191742756,0.0599405105697341,75222458.1708155,79258256.5167585,88.7408734558155,5.57611279070191,0.00000000000637474626884656
"IRL","BAU",2025,0.350135666202584,0.0587710354376935,73031226.9536475,76953540.0810265,90.0494045462404,6.34569078950735,0.0000000000064379074967474
"IRL","ROG",2025,1.00392598388245,0.123701992537098,153538309.602774,160190542.480137,105.236396437701,15.2775189388179,0.0000000000064454007788484
"IRL","LUT",2025,0.955434218694912,0.121052463402567,150249726.96788,156759478.026989,104.338108298145,14.7492144958825,0.0000000000064454007788484
"IRL","BAU",2030,0.443568740072078,0.0731447804567813,90837842.303676,95710619.0436225,96.0416792147931,9.86988886279887,0.00000000000644178933376724
"IRL","ROG",2030,1.14240374462444,0.17083897571633,211616298.290842,220785267.068709,121.103361342636,24.6092552559818,0.00000000000645844302527328
"IRL","LUT",2030,1.01291137312307,0.161635164827057,200215642.30827,208890640.349498,117.989082907328,22.7776746512067,0.00000000000645844302527328
"IRL","BAU",2035,0.514533657637892,0.0855996912841069,106256282.476943,112112602.618284,102.242508085744,13.5167425817213,0.00000000000644477215190972
"IRL","ROG",2035,1.14625504502628,0.203383568545973,251399632.606699,262626776.433448,134.079292294425,32.240706314033,0.00000000000647204027904544
"IRL","LUT",2035,0.96761560161141,0.186670305614562,230740598.100349,241045139.338861,128.262669705692,28.8198133720163,0.00000000000647204027904544
"IRL","BAU",2040,0.533224781447295,0.098600399330332,122352027.480845,129066909.140089,107.655378570317,16.7001793879177,0.00000000000644699733125508
"IRL","ROG",2040,1.08790492745235,0.231039283981628,285121843.710878,297855564.834975,143.577630637676,37.8269031324843,0.00000000000648254180667852
"IRL","LUT",2040,0.87421919939361,0.206114959906603,254363138.476647,265723156.451615,134.917008101692,32.73338673962,0.00000000000648254180667852
"IRL","BAU",2045,0.601940458950472,0.110724658914927,137351318.150182,144971333.638161,113.361867952831,20.0563003936275,0.00000000000644913556891292
"IRL","ROG",2045,1.16309920652189,0.253756312178767,312747361.133555,326932917.955254,152.730846140733,43.2101250681512,0.00000000000649102358552988
"IRL","LUT",2045,0.917303139879752,0.220920785136345,272278517.833561,284628493.775985,141.15827812285,36.4040248528705,0.00000000000649102358552988
"IRL","BAU",2050,0.723838441554376,0.125298559296652,155377787.042794,164093550.61906,120.270100341455,24.1191948069306,0.0000000000064512984349374
"IRL","ROG",2050,1.43494021221311,0.284756386277961,350706492.074722,366866048.232626,165.17608450828,50.5294632998813,0.00000000000649560570363872
"IRL","LUT",2050,1.1256380103393,0.242526134300264,298695635.622594,312458679.669512,150.067080201682,41.6435014887336,0.00000000000649560570363872
"ITA","BAU",2015,0.717902221675573,1.79475555418893,1767954532.11346,1793022378.64717,627.001763858044,406.71034760862,1018.78741318504
"ITA","ROG",2015,0.800105262184158,2.00026315546039,1970305745.95141,1998224362.34528,627.001763858044,406.71034760862,1018.78741318504
"ITA","LUT",2015,0.800105262184158,2.00026315546039,1970305745.95141,1998224362.34528,627.001763858044,406.71034760862,1018.78741318504
"ITA","BAU",2020,2.87409342024853,2.08619924272978,2032304934.27385,2067145065.70122,688.943496187461,428.919746902253,1020.59291019718
"ITA","ROG",2020,4.65640615819016,2.71414501203866,2640300269.58,2685401053.93267,735.915954669672,445.55560275974,1020.59291019718
"ITA","LUT",2020,4.65640615819016,2.71414501203866,2640300269.58,2685401053.93267,735.915954669672,445.55560275974,1020.59291019718
"ITA","BAU",2025,2.16537122236552,2.34428987359316,2258819964.45512,2297905849.01304,715.856639200029,438.510185357774,1024.42875137357
"ITA","ROG",2025,7.03277495533812,5.40958156375331,5199352035.09089,5264992745.61547,866.119696869545,491.762778978989,1024.42875137357
"ITA","LUT",2025,7.11498625090588,5.43757689237536,5226259396.98731,5292260728.89003,868.406962306742,492.520478987438,1024.42875137357
"ITA","BAU",2030,2.6764562635733,2.61164465932031,2513658413.9508,2558179735.29433,750.311119000598,450.782658547243,1028.75819310206
"ITA","ROG",2030,7.88380920159887,6.76724240175843,6480492391.29747,6564582373.08845,983.069849982112,533.301046876101,1028.75819310206
"ITA","LUT",2030,8.05877401297158,6.81423211051929,6525490993.6846,6610234838.82407,987.190304678958,535.804994472172,1031.77533629435
"ITA","BAU",2035,4.27202303328508,2.90824549329358,2796963773.91642,2852703802.53549,821.405824421285,476.921871770417,1034.23256657504
"ITA","ROG",2035,10.5218472906037,7.78202151903805,7426726935.26007,7536000773.4847,1142.66421235073,591.965094337439,1036.971072428
"ITA","LUT",2035,10.4216921468164,7.80268588130599,7446447849.09714,7556240604.69087,1145.96556515472,592.628836920935,1036.62780895126
"ITA","BAU",2040,3.93703664211351,3.22727543212633,3101820033.59742,3164790579.73545,867.231527773358,493.566500077871,1038.28043146747
"ITA","ROG",2040,10.1954872050524,8.82758487392632,8403922905.63789,8530862749.72804,1254.6335139307,632.404897305776,1041.66869040889
"ITA","LUT",2040,10.089518275772,8.80624483412847,8383607037.61446,8510676850.32607,1255.47828586849,631.813513168758,1040.98027775567
"ITA","BAU",2045,5.30299985223605,3.52360351439519,3384657442.59951,3459401979.50263,941.854491466411,520.604445860522,1043.10337028445
"ITA","ROG",2045,13.6307972756429,9.88696854936311,9395300117.4527,9550870380.52137,1436.09874983938,697.852921607896,1047.53659462073
"ITA","LUT",2045,14.1001871692914,9.83060152376703,9341736164.0974,9498824033.4693,1445.67368893869,703.181068561493,1046.37320524718
"ITA","BAU",2050,6.54486979493576,3.86749227368479,3712973413.60256,3802552432.61238,1035.87495358329,554.659647531951,1048.3373715192
"ITA","ROG",2050,16.864615776228,11.096507724317,10535504541.6825,10727476371.853,1666.81905781137,781.065307287353,1054.1297559883
"ITA","LUT",2050,21.3118438113242,10.9814076178687,10426223520.6297,10619398014.1312,1673.01935363127,843.980732832656,1202.50117679825
"MAR","BAU",2015,0.180600351201728,0.45150087800432,539800400.826037,539800400.826037,80.2982610062471,0,0.0000000000736051273833432
"MAR","ROG",2015,0.181775796914057,0.454439492285144,543325637.472127,543325637.472127,80.2982610062471,0,0.0000000000736035124481756
"MAR","LUT",2015,0.181775796914057,0.454439492285144,543325637.472127,543325637.472127,80.2982610062471,0,0.0000000000736035124481756
"MAR","BAU",2020,0.223988546037169,0.559971365092921,663861071.408413,663861071.408413,80.2982610062471,0,0.0000000000742286033185114
"MAR","ROG",2020,0.23376980685811,0.584424517145275,692384973.910467,692384973.910467,80.2982610062471,0,0.0000000000742785580951018
"MAR","LUT",2020,0.23376980685811,0.584424517145275,692384973.910467,692384973.910467,80.2982610062471,0,0.0000000000742785580951018
"MAR","BAU",2025,0.270158447864902,0.675396119662254,796001518.258412,796001518.258412,80.2982610062471,0,0.0000000000746667652849672
"MAR","ROG",2025,0.39543357650727,0.988583941268176,1162995895.66253,1162995895.66253,80.2982610062471,0,0.0000000000748028321991975
"MAR","LUT",2025,0.488309618179723,1.12755204791577,1326481595.67483,1326606139.7103,81.4825369895342,0.418635413330835,0.0000000000748028321991975
"MAR","BAU",2030,0.31315029665249,0.782875741631224,924434570.559151,924434570.559151,80.2982610062471,0,0.000000000074524544470332
"MAR","ROG",2030,0.544872031996229,1.36218007999057,1597522073.38849,1597522073.38849,80.2982610062471,0,0.0000000000750361131379618
"MAR","LUT",2030,0.619011165315636,1.49155139643095,1749244695.61202,1749422870.36967,81.9925058210568,0.598906748377009,0.0000000000750361131379618
"MAR","BAU",2035,0.412514688454954,0.976298559197164,1155278800.91076,1155351635.30055,80.9908354700338,0.244821478271463,0.0000000000743667010436095
"MAR","ROG",2035,0.793806552084272,1.89482072520147,2207672832.48645,2207791638.5725,81.4279754389561,0.399348188392908,0.0000000000755294087801629
"MAR","LUT",2035,0.759290162671435,1.84318893355383,2147516163.20526,2147737479.76226,82.402736601388,0.74392119999858,0.0000000000755294087801629
"MAR","BAU",2040,0.434815097171168,1.07519918881227,1273987650.26656,1274063940.04607,81.0236924033245,0.256436233652003,0.000000000074268795773399
"MAR","ROG",2040,0.959879910026831,2.37002861014221,2739377349.22697,2739515438.93963,81.6113413928728,0.464167101376052,0.0000000000761350084724068
"MAR","LUT",2040,0.919032383441105,2.22899029469572,2576359415.58098,2576614174.62955,82.7192927404186,0.937976163459997,0.0000000000761350084724068
"MAR","BAU",2045,0.462698181353088,1.14361938730959,1354413921.21206,1354494675.54052,81.0661453242669,0.271443120861254,0.0000000000743040989959572
