"ISO3","SC","Year","localroad_invest_billion","mainroad_invest_billion","main_road","local_rd","CarVKM","OM_road"
"KGZ","LUT",2025,0.0732261554996701,0.00629513125345905,29.3842983993835,1465.13128847523,296773364.705392,12396371.784866
"ARM","LUT",2025,0.334509651971786,0.0387254760242886,270.22625,4785.60710619978,359189320.032972,46859072.7435154
"AZE","LUT",2025,0,0.290289604522854,1267.24783481392,43135.2173265651,4712249054.24167,364624647.439288
"AUS","LUT",2025,0.0844404570225317,7.90222226987414,23755.9756349424,260930.875330275,90323558248.1651,3706927847.25973
"NZL","LUT",2025,0,0.422224250437727,1381.49395474693,17076.4695217728,3604571293.02988,230376815.982011
"BRA","LUT",2025,11.4682910035532,8.9094134080609,33020.2897700313,865648.509249403,111197498278.396,8087854305.27477
"CAN","LUT",2025,0,8.61234888466276,26889.3425993645,209831.387785319,86698728623.6292,3655578505.90783
"CHN","LUT",2025,26.031152240603,55.8207817398905,203059.721901253,1546465.8152769,1035583486693.26,15498103455.2046
"LVA","LUT",2025,0,0.044295933884915,217.2475,5608.97536151762,348271661.159106,86558275.5334164
"LTU","LUT",2025,0,0.067958332461868,320.74,2797.8158246345,309009347.156387,49706810.8474191
"ROU","LUT",2025,0.194145385604033,0.0664779892354054,432.283025918105,27600.9762807032,2046378962.46539,230288064.536223
"BGR","LUT",2025,0.344375112666601,0.114602442692068,549.146514879292,19090.0487858325,1503538403.23532,224181241.60814
"FIN","LUT",2025,0,0.245620436035831,1207.61431658554,7126.25686896604,1781416109.40163,87976397.2189105
"SWE","LUT",2025,0,0.390170739877646,1682.51363279315,11427.7035084165,2991753355.91196,204797530.353653
"DNK","LUT",2025,0,0.52789516948729,2424.33625,19258.4078465099,2988672992.43967,317509314.723491
"ESP","LUT",2025,0.265121385523209,10.3555129416265,40188.2646264478,194416.417715121,70186629639.1483,4542403406.74013
"IRL","LUT",2025,0,0.256933532293676,1069.1199755651,13854.1147419199,2322693833.54934,182259646.114579
"EST","LUT",2025,0.0940198130977097,0.0410387063187937,170.0525,3848.53793838362,365388111.837386,60296332.8476314
"POL","LUT",2025,0.314526122492589,0.69910908806289,2779.85608674649,90620.6314044472,9180299607.99219,1093930116.5918
"CZE","LUT",2025,0,0.405244014925683,1807.09125,20141.877942356,2760043695.93843,328707286.122479
"NLD","LUT",2025,0,1.34938458493312,6158.23235706371,60657.6176993685,5592774194.52295,887610580.444988
"BEL","LUT",2025,0,1.93717153216068,8072.3475,85134.9772224998,10896690030.8438,1233468808.76886
"GRC","LUT",2025,0,0.493639328848633,2834.74,42771.816,3767253525.43832,526949322.806078
"AUT","LUT",2025,0,0.625818046714225,2572.515,21499.4073372596,4850156180.09859,367347905.343209
"SVK","LUT",2025,0,0.118207504144295,541.275,4395.92986750968,410842352.584982,74822402.0496299
"HUN","LUT",2025,0,0.368784978687563,1682.21,33479.2851060658,4105401952.22812,375567739.429263
"PRT","LUT",2025,0,1.37274258471655,6445.3425,48144.2858522356,6776438138.01195,821477486.207589
"FRA","LUT",2025,0,7.12901412787747,33130.4928236157,356030.043002004,77599752019.5999,5842897338.44252
"DEU","LUT",2025,0,6.83927357029778,30683.7656959567,305324.772987087,54496167775.8428,4393916551.89428
"IND","LUT",2025,20.7332619975466,4.91802143702529,23733.7931897938,554317.394283914,213735791170.062,4199165208.68429
"ITA","LUT",2025,0.94239935141774,6.95707533549985,32618.9425,367401.242937257,68376689123.2056,5251191696.60225
