"SC","Year","ISO3","POP","GCAP","carPKM","motorPKM","ptPKM","walkPKM","cyclePKM"
"LUT",2045,"SDN",17582,4944.73604739299,11978396267.826,6404722098.07303,76884129656.7592,2015308381.49209,2818428770.47736
"BAU",2050,"SDN",19438,5742.15837344438,47893894930.4324,10630726000.704,50854334703.3895,3716015857.69953,5191911078.02561
"ROG",2050,"SDN",19438,5742.15837344438,19435790277.1837,7893263894.11951,111012412754.056,2742089170.14023,3827800602.04006
"LUT",2050,"SDN",19438,5742.15837344438,11873618614.851,6153677481.66822,95256313546.9053,1906267907.65527,2679043673.93447
"BAU",2015,"CAF",794,826.650167,158370576.011691,211094833.408627,949474411.82313,67760954.9531911,92431474.7664315
"ROG",2015,"CAF",794,826.650167,157453501.057584,211175635.455875,949461990.402555,67789651.2926439,92470618.9163016
"LUT",2015,"CAF",794,826.650167,157453501.057584,211175635.455875,949461990.402555,67789651.2926439,92470618.9163016
"BAU",2020,"CAF",876,973.527585,171993672.655196,268243381.759119,1214657401.77418,90359773.8658685,123083952.775737
"ROG",2020,"CAF",876,973.527585,140730108.400943,270903466.626859,1213900063.35697,91354665.8211009,124439149.111405
"LUT",2020,"CAF",876,973.527585,140730108.400943,270903466.626859,1213900063.35697,91354665.8211009,124439149.111405
"BAU",2025,"CAF",998,1113.76941,206954297.830391,348498967.383911,1590722536.90634,122058955.552553,166089106.782136
"ROG",2025,"CAF",998,1113.76941,150816541.241598,332492791.837353,1849277442.20161,115729040.195526,157475810.175626
"LUT",2025,"CAF",998,1113.76941,109626358.951455,294939432.449511,1651757893.28111,97336534.5313972,132852374.41942
"BAU",2030,"CAF",1148,1292.282761,242576193.086736,448059001.245419,2060972104.31512,161441890.806309,219634502.511557
"ROG",2030,"CAF",1148,1292.282761,138681029.959279,397307649.394528,2805929517.71814,141396840.617239,192364104.450019
"LUT",2030,"CAF",1148,1292.282761,85143502.0485752,315725145.00959,2278436863.59354,101875353.053566,139364983.026883
"BAU",2035,"CAF",1305,1502.433913,294922946.062453,552339397.252365,2556243325.63654,202790411.495044,276021493.757311
"ROG",2035,"CAF",1305,1502.433913,143577456.06213,448129298.383931,4032201824.69987,161344166.093481,219608301.032708
"LUT",2035,"CAF",1305,1502.433913,76839306.3689542,325915647.025406,3038540049.25111,102823310.156559,140988492.812625
"BAU",2040,"CAF",1471,1748.017707,349871505.532201,664791570.77273,3093236689.94036,247412990.921083,337080315.43954
"ROG",2040,"CAF",1471,1748.017707,142800999.443369,486226347.599759,5577477631.59333,176148124.683139,239987662.778851
"LUT",2040,"CAF",1471,1748.017707,67842514.261089,327030163.190408,3941500338.97634,100969990.287034,138781412.132086
"BAU",2045,"CAF",1647,2050.631588,423653745.815368,785369080.834385,3671048725.149,295377826.937959,403001612.346478
"ROG",2045,"CAF",1647,2050.631588,145670536.264054,506901673.934606,7503433498.77091,184163436.608353,251265176.732524
"LUT",2045,"CAF",1647,2050.631588,62104824.774047,316934573.459218,5002884872.71931,95854257.7079454,132096234.42515
"BAU",2050,"CAF",1830,2427.952808,497735463.148256,913997571.538929,4289542591.73547,346780476.685909,474039651.304798
"ROG",2050,"CAF",1830,2427.952808,137733399.861052,507553826.673652,9835829283.23243,184579060.756621,252314647.108828
"LUT",2050,"CAF",1830,2427.952808,53158931.1056188,295862066.498887,6214237999.99984,87802983.6585911,121354361.265728
"BAU",2015,"BRA",99291,15945.7208860706,186296652140.1,165668120961.614,278091081885.046,9718398377.44665,14578208824.4238
"ROG",2015,"BRA",99291,15945.7208860706,174078392209.339,169405194100.932,278736042332.486,9938197965.7012,14907600144.4453
"LUT",2015,"BRA",99291,15945.7208860706,174078392209.339,169405194100.932,278736042332.486,9938197965.7012,14907600144.4453
"BAU",2020,"BRA",105104,15418.0917971307,169440083571.243,187626584015.089,314399442662.219,11034462727.7644,16488970832.7345
"ROG",2020,"BRA",105104,15418.0917971307,155604124285.228,191852373273.329,315140790163.686,11283451523.5636,16861038341.6855
"LUT",2020,"BRA",105104,15418.0917971307,155604124285.228,191852373273.329,315140790163.686,11283451523.5636,16861038341.6855
"BAU",2025,"BRA",110161,16822.9612534797,175280719987.299,204684814662.021,342658450971.973,12024760526.9487,18119891375.6476
"ROG",2025,"BRA",110161,16822.9612534797,152634359718.633,200311635125.37,378605510214.344,11777172506.504,17740468054.4863
"LUT",2025,"BRA",110161,16822.9612534797,147632918833.72,196736417577.527,375628261536.015,11466273784.3272,17292234693.6623
"BAU",2030,"BRA",114367,18709.5812871279,181806827729.859,220402075978.528,368664190238.402,12912289399.3637,19683438698.7263
"ROG",2030,"BRA",114367,18709.5812871279,146910287618.193,203360461513.085,455689171458.784,11938920016.8202,18181265500.0513
"LUT",2030,"BRA",114367,18709.5812871279,137794301430.15,196120796110.517,451159996462.865,11330514209.2439,17294552392.8911
"BAU",2035,"BRA",117915,20794.7140334846,211832437299.124,227251852512.141,379461624099.078,13274903849.3774,20508688288.9036
"ROG",2035,"BRA",117915,20794.7140334846,150058153028.187,199307867588.559,526399751443.785,11696438630.1422,18027808235.6642
"LUT",2035,"BRA",117915,20794.7140334846,136564621310.375,188796377985.945,520062489884.226,10823785571.583,16743845605.3246
"BAU",2040,"BRA",121002,22993.8391750516,231901868069.888,236368765523.786,393961226670.171,13749712906.2904,21549302826.7269
"ROG",2040,"BRA",121002,22993.8391750516,150098543543.239,194093510201.122,604384852301.222,11379081157.1116,17758965857.5198
"LUT",2040,"BRA",121002,22993.8391750516,132137317824.867,179699995176.268,598973998005.611,10223059798.8019,16042204964.1766
"BAU",2045,"BRA",123680,25410.7624037399,255536295901.86,244080752254.724,406126975619.206,14113156858.2214,22477149154.1946
"ROG",2045,"BRA",123680,25410.7624037399,152817285458.419,186430776189.74,683854758793.699,10908353610.5438,17255831148.7314
"LUT",2045,"BRA",123680,25410.7624037399,130566090781.158,169240207700.625,676823227956.256,9545362371.60194,15208114675.9818
"BAU",2050,"BRA",125959,27911.2748907949,269943051982.512,252998687314.132,424526893486.639,14523960492.9958,23532379605.9955
"ROG",2050,"BRA",125959,27911.2748907949,151395462034.974,177702046093.995,771135319036.728,10375116865.9504,16644674799.5125
"LUT",2050,"BRA",125959,27911.2748907949,126339170563.986,159214102531.999,757137908289.394,8901489876.6654,14403158159.9073
"BAU",2015,"BOL",5535,9865.59564485438,7823192727.32348,5694766461.43317,5647028725.89538,361467901.670689,515260960.736478
"ROG",2015,"BOL",5535,9865.59564485438,7312423143.05536,5869608256.96063,5595330078.88987,372598255.99166,531137112.855642
"LUT",2015,"BOL",5535,9865.59564485438,7312423143.05536,5869608256.96063,5595330078.88987,372598255.99166,531137112.855642
"BAU",2020,"BOL",6224,10668.7643984891,9602290937.70835,7034004470.07669,6998684906.47227,452659643.781734,647348144.064512
"ROG",2020,"BOL",6224,10668.7643984891,8579676127.12189,7383081054.53105,6890423807.37849,475138926.195631,679521321.521513
"LUT",2020,"BOL",6224,10668.7643984891,8579676127.12189,7383081054.53105,6890423807.37849,475138926.195631,679521321.521513
"BAU",2025,"BOL",6893,12380.5949370799,12019242896.9737,8235817865.96639,8233886956.8508,534430910.812668,770521387.450611
"ROG",2025,"BOL",6893,12380.5949370799,9901199653.52961,8418213933.64303,9757054820.67787,546293600.338885,787635308.301182
"LUT",2025,"BOL",6893,12380.5949370799,8649103345.55202,7668431897.69564,10726474838.0257,486563003.837588,702435226.657762
"BAU",2030,"BOL",7542,14613.711585663,14913410426.814,9361669757.65275,9401914463.25287,609797449.445158,888833691.389638
"ROG",2030,"BOL",7542,14613.711585663,11130305521.9495,9210320223.5785,13677943032.3617,600005404.595349,874532135.637252
"LUT",2030,"BOL",7542,14613.711585663,8897506469.42986,7943753368.82977,14487713442.0725,496519252.442568,725427192.620064
"BAU",2035,"BOL",8153,17193.3955403152,18601520732.6623,10249894853.3697,10336213621.5731,667822322.559804,985886040.377424
"ROG",2035,"BOL",8153,17193.3955403152,13000509288.127,9536836719.80313,18267467276.8413,621543960.815235,917468694.668168
"LUT",2035,"BOL",8153,17193.3955403152,9189580336.24567,7447543702.02232,20410763283.4301,459440899.559268,680376008.122225
"BAU",2040,"BOL",8756,20112.9272478508,22901351037.8607,11066201894.4053,11199820408.187,718816776.070594,1076669968.54757
"ROG",2040,"BOL",8756,20112.9272478508,14906009443.5323,9687915827.41648,23700021503.7612,629641631.191567,942899399.137136
"LUT",2040,"BOL",8756,20112.9272478508,9768031707.35295,7169489002.86071,25487582572.9419,435659068.682134,654985360.307884
"BAU",2045,"BOL",9353,23623.4933113011,29299662333.6406,11369303033.8194,11542173885.8953,733734401.854491,1118426435.31597
"ROG",2045,"BOL",9353,23623.4933113011,17136467458.2671,9565701934.90348,29587081966.5083,617989313.92127,941622805.800702
